entrez_id,PredictionScore
26127,0.322
92,0.322
5368,0.322
114880,0.322
254887,0.322
79009,0.322
50807,0.322
23468,0.322
8816,0.322
56675,0.321
1107,0.321
8491,0.321
114299,0.321
284615,0.321
1608,0.321
7733,0.321
84678,0.321
79684,0.321
50614,0.321
80232,0.321
29072,0.321
80335,0.321
57649,0.321
10057,0.321
6664,0.321
54551,0.32
222183,0.32
25927,0.32
6017,0.32
257194,0.32
3765,0.32
659,0.32
79085,0.32
26224,0.32
29855,0.32
116983,0.319
9844,0.319
55715,0.319
83607,0.319
6018,0.319
1948,0.319
10947,0.319
9231,0.319
8503,0.319
10687,0.319
284252,0.319
6515,0.319
1456,0.318
51555,0.318
11083,0.318
140679,0.318
1176,0.318
6660,0.318
27,0.317
9648,0.317
27107,0.317
5274,0.317
374986,0.317
627,0.317
26025,0.317
9956,0.316
259217,0.316
57520,0.316
481,0.316
57496,0.316
7014,0.316
23108,0.316
64921,0.316
57486,0.316
80319,0.316
79813,0.315
9135,0.315
136319,0.315
23200,0.315
63027,0.315
2035,0.315
7539,0.315
55118,0.315
54674,0.315
10579,0.314
25945,0.314
2571,0.314
3756,0.313
56970,0.313
56896,0.313
6599,0.313
9108,0.313
5495,0.313
26035,0.313
57554,0.312
7982,0.312
9764,0.312
9649,0.312
79948,0.312
1996,0.312
114793,0.312
22905,0.312
221002,0.311
7008,0.311
84056,0.311
196500,0.311
149986,0.311
56478,0.311
23534,0.311
92154,0.311
56341,0.311
375323,0.311
988,0.311
10743,0.31
376267,0.31
1454,0.31
23001,0.31
10458,0.31
197131,0.31
57633,0.31
6712,0.31
5253,0.31
10605,0.31
57692,0.31
23081,0.31
8675,0.31
1826,0.31
84465,0.31
57731,0.31
340371,0.31
57595,0.31
55251,0.31
23244,0.31
10902,0.309
57645,0.309
2742,0.309
10527,0.309
401190,0.309
79071,0.309
10260,0.309
157753,0.309
63982,0.309
6511,0.309
158038,0.309
388585,0.308
56924,0.308
116372,0.308
116987,0.308
29799,0.308
80725,0.307
84247,0.307
9972,0.307
254251,0.307
5090,0.307
576,0.307
4801,0.307
23139,0.307
9228,0.306
2786,0.306
65117,0.306
9468,0.306
55609,0.306
30820,0.306
8671,0.306
9967,0.306
134829,0.306
140689,0.306
114799,0.306
4862,0.306
4012,0.306
83637,0.305
9066,0.305
51742,0.305
55190,0.305
51363,0.305
3766,0.305
2262,0.305
1654,0.305
5597,0.305
54880,0.305
27255,0.305
7072,0.305
23527,0.305
51780,0.304
22930,0.304
80331,0.304
400745,0.304
8899,0.304
1393,0.304
6752,0.304
2800,0.304
64388,0.304
57533,0.304
166614,0.303
4661,0.303
9530,0.303
57460,0.303
9653,0.303
6509,0.303
7143,0.303
79605,0.303
202018,0.303
84280,0.303
4664,0.303
51440,0.302
4209,0.302
163,0.302
202559,0.302
321,0.302
64405,0.302
121551,0.302
221662,0.302
22877,0.302
80018,0.302
23761,0.302
11278,0.301
56916,0.301
3054,0.301
1108,0.301
116,0.301
220441,0.301
3899,0.301
4134,0.301
50809,0.301
8506,0.301
84966,0.301
9811,0.301
5613,0.301
57563,0.301
85443,0.3
5991,0.3
4885,0.3
85358,0.3
6683,0.3
782,0.3
57657,0.3
23347,0.3
6622,0.3
55196,0.3
9240,0.3
10297,0.3
547,0.3
79739,0.299
7403,0.299
4045,0.299
8120,0.299
23039,0.299
2918,0.299
50859,0.299
23080,0.299
55814,0.299
9758,0.299
51439,0.299
11103,0.298
11275,0.298
5980,0.298
11188,0.298
22874,0.298
9788,0.298
54602,0.298
25909,0.298
9722,0.298
9254,0.298
51496,0.298
4430,0.297
57687,0.297
25819,0.297
6874,0.297
273,0.297
6327,0.297
5291,0.297
9751,0.297
9515,0.297
85464,0.297
57695,0.297
6738,0.297
54438,0.297
339324,0.297
83989,0.296
3839,0.296
51466,0.296
331,0.296
7328,0.296
253152,0.296
203259,0.296
6651,0.296
81855,0.295
81573,0.295
79870,0.295
4922,0.295
478,0.295
23431,0.295
23135,0.295
84630,0.295
2820,0.295
80036,0.294
92181,0.294
3321,0.294
284695,0.294
84457,0.294
9748,0.294
23384,0.294
26207,0.294
4168,0.293
26470,0.293
388403,0.293
5662,0.293
126298,0.293
5138,0.293
55197,0.293
23005,0.292
128553,0.292
5799,0.292
27075,0.292
3897,0.292
9118,0.292
359948,0.292
6543,0.292
170261,0.292
137492,0.292
57537,0.292
5596,0.292
494470,0.292
10236,0.292
286046,0.292
6732,0.292
10891,0.292
80003,0.292
29896,0.292
1627,0.291
23094,0.291
84530,0.291
23270,0.291
2530,0.291
8570,0.291
84249,0.291
92737,0.291
27254,0.291
29883,0.291
5126,0.291
55758,0.29
10656,0.29
10570,0.29
6103,0.29
51754,0.29
85352,0.29
4848,0.29
1822,0.29
80108,0.29
9321,0.29
10908,0.29
57476,0.29
6709,0.29
9439,0.29
26009,0.289
5567,0.289
26953,0.289
5903,0.289
55291,0.289
57142,0.289
8535,0.289
1002,0.289
392617,0.289
79143,0.289
7026,0.289
114787,0.288
204851,0.288
221895,0.288
255426,0.288
80321,0.288
58487,0.288
83694,0.288
23035,0.288
130576,0.288
85465,0.288
56963,0.288
11216,0.288
90806,0.288
2119,0.288
8732,0.287
81790,0.287
23304,0.287
55915,0.287
9912,0.287
10962,0.287
4097,0.287
6853,0.287
57666,0.287
9373,0.287
57168,0.287
3157,0.287
84959,0.287
57597,0.286
26086,0.286
1809,0.286
22992,0.286
10657,0.285
340719,0.285
51571,0.285
55530,0.285
57599,0.285
23151,0.285
55906,0.285
126129,0.285
64324,0.285
11113,0.285
55212,0.285
5523,0.285
9320,0.285
55359,0.285
79751,0.285
1859,0.285
115426,0.285
51719,0.284
54439,0.284
6616,0.284
54620,0.284
55810,0.284
57030,0.284
65065,0.284
2131,0.284
114805,0.284
150726,0.284
729993,0.284
8522,0.284
8997,0.284
10773,0.284
1139,0.284
1808,0.283
149175,0.283
30818,0.283
1746,0.283
7532,0.283
4987,0.283
26289,0.283
8455,0.283
9211,0.283
57609,0.283
79969,0.282
23413,0.282
118427,0.282
10215,0.282
5522,0.282
55228,0.282
56204,0.282
3093,0.282
758,0.282
23461,0.282
1124,0.281
57547,0.281
2018,0.281
11189,0.281
613,0.28
535,0.28
57579,0.28
23012,0.28
56978,0.28
376940,0.28
6653,0.28
23090,0.28
5290,0.28
5924,0.28
7432,0.279
55966,0.279
9057,0.279
114876,0.279
9879,0.279
23259,0.279
6432,0.279
57718,0.279
23305,0.279
6297,0.279
25827,0.279
2596,0.278
2037,0.278
162239,0.278
54550,0.278
163882,0.278
404734,0.278
339745,0.278
56893,0.278
149076,0.278
54557,0.278
9444,0.278
7536,0.278
388650,0.278
6815,0.278
254122,0.278
81669,0.278
9258,0.278
51199,0.278
55176,0.277
160622,0.277
26043,0.277
55327,0.277
93986,0.277
389941,0.277
9887,0.277
25822,0.277
26058,0.277
54856,0.277
83692,0.277
22862,0.277
3840,0.277
84253,0.277
51308,0.277
8227,0.276
10079,0.276
57590,0.276
10114,0.276
8505,0.276
1655,0.276
55731,0.276
93145,0.276
1749,0.276
7545,0.276
114794,0.276
54463,0.275
121256,0.275
9783,0.275
5870,0.275
9905,0.275
11059,0.275
56961,0.275
1952,0.275
575,0.275
130872,0.275
3607,0.275
23125,0.275
10621,0.275
1849,0.275
4040,0.275
121512,0.275
55729,0.275
729438,0.275
10228,0.274
7088,0.274
9181,0.274
9147,0.274
4628,0.274
9194,0.274
27122,0.274
10144,0.274
9044,0.274
90338,0.274
9344,0.274
151050,0.274
2957,0.274
65244,0.274
29904,0.273
115,0.273
140730,0.273
116966,0.273
5520,0.273
11176,0.273
57466,0.273
80742,0.273
51412,0.273
26051,0.273
283576,0.273
145567,0.273
137695,0.273
85458,0.273
23046,0.273
8224,0.273
146330,0.272
23163,0.272
200576,0.272
1741,0.272
6844,0.272
23283,0.272
7102,0.272
23515,0.272
5144,0.272
55252,0.272
25948,0.272
9669,0.272
8661,0.272
84440,0.272
28951,0.272
55727,0.272
79953,0.271
26060,0.271
8034,0.271
23731,0.271
57147,0.271
7781,0.271
112476,0.271
667,0.271
80228,0.271
137886,0.271
57626,0.271
3667,0.27
57689,0.27
9731,0.27
23331,0.27
1730,0.27
5582,0.27
55761,0.27
4693,0.27
9252,0.27
23373,0.27
6430,0.27
138046,0.27
57120,0.27
9372,0.27
4889,0.27
8633,0.269
30819,0.269
643836,0.269
205564,0.269
84446,0.269
133022,0.269
84978,0.269
22895,0.269
6900,0.269
324,0.268
79827,0.268
9911,0.268
8303,0.268
2912,0.268
1846,0.268
25797,0.268
149371,0.268
9578,0.267
6305,0.267
23219,0.267
139231,0.267
83732,0.267
127933,0.267
51134,0.267
25998,0.267
375449,0.266
23137,0.266
253558,0.266
644150,0.266
81928,0.266
23195,0.266
8814,0.266
8148,0.266
6585,0.266
816,0.266
81551,0.266
8527,0.266
57018,0.266
171023,0.266
79882,0.265
2734,0.265
79888,0.265
54556,0.265
9738,0.265
8913,0.265
79745,0.265
8805,0.265
23405,0.265
6397,0.265
55690,0.265
57524,0.265
2550,0.265
55812,0.265
9891,0.265
7862,0.265
9951,0.264
114825,0.264
80013,0.264
1399,0.264
7016,0.264
64089,0.264
283578,0.264
6489,0.264
25999,0.264
56929,0.264
79677,0.264
9815,0.264
4293,0.263
23367,0.263
131408,0.263
5578,0.263
54492,0.263
4660,0.263
27229,0.263
3187,0.263
256714,0.263
6252,0.263
7368,0.263
57403,0.263
166968,0.263
5142,0.263
55599,0.263
113251,0.262
6787,0.262
11044,0.262
3208,0.262
10446,0.262
164,0.262
1734,0.262
4062,0.262
55660,0.262
10914,0.262
139760,0.262
55023,0.262
83660,0.262
79627,0.262
10439,0.262
10664,0.262
22983,0.261
10336,0.261
51455,0.261
9677,0.261
168667,0.261
23352,0.261
57606,0.261
3799,0.261
57209,0.261
59084,0.261
6804,0.261
23109,0.26
477,0.26
1756,0.26
79683,0.26
57585,0.26
378884,0.26
64207,0.26
152330,0.26
115827,0.26
8313,0.26
8888,0.26
64860,0.26
996,0.26
27316,0.26
54521,0.26
165324,0.26
10769,0.259
8853,0.259
149041,0.259
57568,0.259
81550,0.259
93627,0.259
5153,0.259
84152,0.259
8780,0.259
51265,0.259
9825,0.259
56261,0.259
151473,0.259
441478,0.259
5527,0.258
5911,0.258
8447,0.258
2563,0.258
